,speed
1270,truck:0km/H
1271,car:1km/H
1272,car:0km/H
1273,car:0km/H
1274,car:0km/H
1275,car:0km/H
1276,car:0km/H
1277,truck:0km/H
1278,car:1km/H
1279,car:0km/H
1280,car:0km/H
1281,car:0km/H
1282,car:0km/H
1283,truck:0km/H
1284,car:1km/H
1285,car:0km/H
1286,car:0km/H
1287,car:0km/H
1288,car:0km/H
1289,truck:0km/H
1290,car:1km/H
1291,car:0km/H
1292,car:0km/H
1293,car:0km/H
1294,car:0km/H
1295,truck:0km/H
1296,car:1km/H
1297,car:0km/H
1298,car:0km/H
1299,car:0km/H
1300,car:0km/H
1301,truck:0km/H
1302,car:1km/H
1303,car:0km/H
1304,car:0km/H
1305,car:0km/H
1306,car:0km/H
1307,truck:0km/H
1308,car:1km/H
1309,car:0km/H
1310,car:0km/H
1311,car:0km/H
1312,car:0km/H
1313,truck:0km/H
1314,car:1km/H
1315,car:0km/H
1316,car:0km/H
1317,car:0km/H
1318,car:0km/H
1319,truck:0km/H
1320,car:1km/H
1321,car:0km/H
1322,car:0km/H
1323,car:0km/H
1324,car:2km/H
1325,car:0km/H
1326,truck:0km/H
1327,car:1km/H
1328,car:0km/H
1329,car:0km/H
1330,car:0km/H
1331,car:1km/H
1332,car:0km/H
1333,truck:0km/H
1334,car:1km/H
1335,car:0km/H
1336,car:0km/H
1337,car:0km/H
1338,car:1km/H
1339,car:0km/H
1340,truck:0km/H
1341,car:1km/H
1342,car:0km/H
1343,car:0km/H
1344,car:0km/H
1345,car:1km/H
1346,car:0km/H
1347,truck:0km/H
1348,car:1km/H
1349,car:0km/H
1350,car:0km/H
1351,car:0km/H
1352,car:1km/H
1353,car:0km/H
1354,truck:0km/H
1355,car:1km/H
1356,car:0km/H
1357,car:0km/H
1358,car:0km/H
1359,car:0km/H
1360,truck:0km/H
1361,car:1km/H
1362,car:0km/H
1363,car:0km/H
1364,car:0km/H
1365,car:0km/H
1366,truck:0km/H
1367,car:1km/H
1368,car:0km/H
1369,car:0km/H
1370,car:0km/H
1371,car:0km/H
1372,truck:0km/H
1373,car:1km/H
1374,car:0km/H
1375,person:1km/H
1376,car:0km/H
1377,car:0km/H
1378,car:0km/H
1379,truck:0km/H
1380,car:1km/H
1381,car:0km/H
1382,person:0km/H
1383,car:0km/H
1384,car:0km/H
1385,car:0km/H
1386,truck:0km/H
1387,car:1km/H
1388,car:0km/H
1389,person:0km/H
1390,car:0km/H
1391,car:0km/H
1392,car:0km/H
1393,truck:0km/H
1394,car:1km/H
1395,car:0km/H
1396,car:0km/H
1397,car:0km/H
1398,car:0km/H
1399,truck:0km/H
1400,car:1km/H
1401,car:0km/H
1402,car:0km/H
1403,car:0km/H
1404,car:0km/H
1405,truck:0km/H
1406,car:1km/H
1407,car:0km/H
1408,car:0km/H
1409,car:0km/H
1410,car:0km/H
1411,truck:0km/H
1412,car:1km/H
1413,car:0km/H
1414,car:0km/H
1415,car:0km/H
1416,car:0km/H
1417,truck:0km/H
1418,car:1km/H
1419,car:0km/H
1420,car:0km/H
1421,car:0km/H
1422,car:0km/H
1423,truck:0km/H
1424,car:1km/H
1425,car:0km/H
1426,car:0km/H
1427,car:0km/H
1428,car:0km/H
1429,truck:0km/H
1430,car:1km/H
1431,car:0km/H
1432,car:0km/H
1433,car:0km/H
1434,car:0km/H
1435,truck:0km/H
1436,car:1km/H
1437,car:0km/H
1438,car:0km/H
1439,car:0km/H
1440,car:0km/H
1441,truck:0km/H
1442,car:1km/H
1443,car:0km/H
1444,car:0km/H
1445,car:0km/H
1446,car:0km/H
1447,truck:0km/H
1448,car:1km/H
1449,car:0km/H
1450,person:0km/H
1451,car:0km/H
1452,car:0km/H
1453,car:0km/H
1454,truck:0km/H
1455,car:1km/H
1456,car:0km/H
1457,person:0km/H
1458,car:0km/H
1459,car:0km/H
1460,car:0km/H
1461,truck:0km/H
1462,car:1km/H
1463,car:0km/H
1464,person:0km/H
1465,car:0km/H
1466,car:0km/H
1467,car:0km/H
1468,truck:0km/H
1469,car:1km/H
1470,car:0km/H
1471,car:0km/H
1472,car:0km/H
1473,car:0km/H
1474,truck:0km/H
